path,label
Garbage classification resized/cardboard/cardboard246.jpg,cardboard
Garbage classification resized/paper/paper154.jpg,paper
Garbage classification resized/plastic/plastic10.jpg,plastic
Garbage classification resized/paper/paper532.jpg,paper
Garbage classification resized/trash/trash_170.jpg,trash
Garbage classification resized/metal/metal375.jpg,metal
Garbage classification resized/trash/trash_252.jpg,trash
Garbage classification resized/glass/glass78.jpg,glass
Garbage classification resized/paper/paper90.jpg,paper
Garbage classification resized/glass/glass403.jpg,glass
Garbage classification resized/trash/trash_511.jpg,trash
Garbage classification resized/paper/paper226.jpg,paper
Garbage classification resized/trash/trash_329.jpg,trash
Garbage classification resized/paper/paper_11_aug_3.jpg,paper
Garbage classification resized/paper/paper338.jpg,paper
Garbage classification resized/trash/trash_467.jpg,trash
Garbage classification resized/paper/paper248.jpg,paper
Garbage classification resized/metal/metal_27_aug_2.jpg,metal
Garbage classification resized/plastic/plastic_10_aug_0.jpg,plastic
Garbage classification resized/cardboard/cardboard_42_aug_0.jpg,cardboard
Garbage classification resized/paper/paper245.jpg,paper
Garbage classification resized/metal/metal67.jpg,metal
Garbage classification resized/plastic/plastic363.jpg,plastic
Garbage classification resized/glass/glass_9_aug_0.jpg,glass
Garbage classification resized/glass/glass393.jpg,glass
Garbage classification resized/trash/trash84.jpg,trash
Garbage classification resized/trash/trash_414.jpg,trash
Garbage classification resized/trash/trash_29.jpg,trash
Garbage classification resized/glass/glass440.jpg,glass
Garbage classification resized/metal/metal68.jpg,metal
Garbage classification resized/metal/metal231.jpg,metal
Garbage classification resized/paper/paper_35_aug_1.jpg,paper
Garbage classification resized/paper/paper529.jpg,paper
Garbage classification resized/glass/glass339.jpg,glass
Garbage classification resized/plastic/plastic_580.jpg,plastic
Garbage classification resized/plastic/plastic_584.jpg,plastic
Garbage classification resized/cardboard/cardboard46.jpg,cardboard
Garbage classification resized/plastic/plastic_32_aug_0.jpg,plastic
Garbage classification resized/trash/trash_36.jpg,trash
Garbage classification resized/trash/trash82.jpg,trash
Garbage classification resized/plastic/plastic_48_aug_1.jpg,plastic
Garbage classification resized/paper/paper_19_aug_2.jpg,paper
Garbage classification resized/trash/trash_191.jpg,trash
Garbage classification resized/cardboard/cardboard161.jpg,cardboard
Garbage classification resized/metal/metal_428.jpg,metal
Garbage classification resized/paper/paper587.jpg,paper
Garbage classification resized/metal/metal95.jpg,metal
Garbage classification resized/trash/trash_47_aug_0.jpg,trash
Garbage classification resized/plastic/plastic321.jpg,plastic
Garbage classification resized/glass/glass_16_aug_0.jpg,glass
Garbage classification resized/plastic/plastic_20.jpg,plastic
Garbage classification resized/cardboard/cardboard_532.jpg,cardboard
Garbage classification resized/cardboard/cardboard_22_aug_3.jpg,cardboard
Garbage classification resized/trash/trash_2.jpg,trash
Garbage classification resized/cardboard/cardboard_31_aug_3.jpg,cardboard
Garbage classification resized/paper/paper_10_aug_3.jpg,paper
Garbage classification resized/metal/metal382.jpg,metal
Garbage classification resized/trash/trash_272.jpg,trash
Garbage classification resized/glass/glass_29_aug_3.jpg,glass
Garbage classification resized/trash/trash_439.jpg,trash
Garbage classification resized/cardboard/cardboard286.jpg,cardboard
Garbage classification resized/paper/paper_44_aug_3.jpg,paper
Garbage classification resized/metal/metal_16_aug_3.jpg,metal
Garbage classification resized/cardboard/cardboard301.jpg,cardboard
Garbage classification resized/trash/trash_306.jpg,trash
Garbage classification resized/plastic/plastic359.jpg,plastic
Garbage classification resized/cardboard/cardboard188.jpg,cardboard
Garbage classification resized/trash/trash_269.jpg,trash
Garbage classification resized/cardboard/cardboard_49_aug_2.jpg,cardboard
Garbage classification resized/metal/metal_440.jpg,metal
Garbage classification resized/glass/glass_41.jpg,glass
Garbage classification resized/paper/paper_38.jpg,paper
Garbage classification resized/paper/paper433.jpg,paper
Garbage classification resized/trash/trash_445.jpg,trash
Garbage classification resized/plastic/plastic_39.jpg,plastic
Garbage classification resized/paper/paper_38_aug_3.jpg,paper
Garbage classification resized/paper/paper195.jpg,paper
Garbage classification resized/plastic/plastic266.jpg,plastic
Garbage classification resized/glass/glass_27_aug_3.jpg,glass
Garbage classification resized/glass/glass345.jpg,glass
